19:27:02.660 [main] INFO  testcases.TC01_Catalog - --> Starting execution in Chrome Browser
19:27:03.723 [main] INFO  testcases.TC01_Catalog - --> Calling get url method
19:27:03.723 [main] INFO  testcases.TC01_Catalog - --> Opening JPetstore url in the browser
19:27:04.643 [main] INFO  testcases.TC01_Catalog - --> Maximize the browser
19:27:04.698 [main] INFO  testcases.TC01_Catalog - --> Get the page title and print on the console==============yethuku
19:27:04.725 [main] INFO  testcases.TC01_Catalog - --> Get List of options in the vertical
19:27:04.806 [main] INFO  testcases.TC01_Catalog - --> Verifying list of vertical menu are not null using assertNotNull method
19:27:04.809 [main] INFO  testcases.TC01_Catalog - --> Get List of options in the horizontal
19:27:04.872 [main] INFO  testcases.TC01_Catalog - --> Verifying list of horizontal menu are not null using assertNotNull method
19:27:04.872 [main] INFO  testcases.TC01_Catalog - --> Comparing both the list are equal
19:27:04.872 [main] INFO  testcases.TC01_Catalog - --> Verifying comparation result is true using assertTrue method
19:27:04.872 [main] INFO  testcases.TC01_Catalog - --> Making that list into single String with semi-colon separated string
19:27:04.874 [main] INFO  testcases.TC01_Catalog - --> Calling writeTextInExcel method to write the list of option in the excel sheet by passing that single String
19:27:05.527 [main] INFO  testcases.TC01_Catalog - --> Closing Browser
19:27:05.528 [main] INFO  testcases.TC01_Catalog - ---------> End Of Test Case <---------
19:27:05.622 [main] INFO  testcases.TC02_ProductDetails - --> Starting execution in Chrome Browser
19:27:06.097 [main] INFO  testcases.TC02_ProductDetails - --> Calling get url method
19:27:06.098 [main] INFO  testcases.TC02_ProductDetails - --> Opening JPetstore url in the browser
19:27:06.985 [main] INFO  testcases.TC02_ProductDetails - --> Maximize the browser
19:27:07.022 [main] INFO  testcases.TC02_ProductDetails - --> Get the page title and print on the console
19:27:07.031 [main] INFO  testcases.TC02_ProductDetails - --> Retrieve the list of options from the Excel sheet that were written by the most recent test case.
19:27:07.155 [main] INFO  testcases.TC02_ProductDetails - --> Calling reusable method to get product details by passing options one-by-one
19:27:07.559 [main] INFO  testcases.TC02_ProductDetails - --> After entering to the particular option, it getting option title
